iter	F1:use_weights=false	Logloss	Accuracy:use_weights=true	Accuracy:use_weights=false
0	0.6027766058	0.6489444214	0.7668955736	0.7873514386
1	0.6164957646	0.6143406233	0.7733661335	0.814961011
2	0.6162166695	0.5862419145	0.7749767621	0.8030868513
3	0.6205062205	0.5623358641	0.7771002276	0.8097122882
4	0.6249488929	0.5433740352	0.779892785	0.8125410056
5	0.6264299462	0.5273382752	0.7806820731	0.8141973649
6	0.6268488885	0.5154088243	0.7809545178	0.8144017209
7	0.6299621417	0.5048193329	0.7829577871	0.8160258134
8	0.6299049712	0.4969836609	0.7830699702	0.8152729228
9	0.630298324	0.4901812656	0.7832863233	0.8156601237
10	0.6312299511	0.4835122409	0.7839674349	0.8157676795
11	0.63124035	0.4782263142	0.7841276964	0.8150470557
12	0.633271012	0.473642648	0.7853697234	0.8164560366
13	0.6343336408	0.4694504854	0.7861389788	0.816649637
14	0.6349715557	0.4657694677	0.7866798615	0.8164237698
15	0.6347366846	0.4624230367	0.7865356261	0.8162624361
16	0.6356737861	0.4599221945	0.7872808423	0.8161656359
17	0.6365401438	0.4577738241	0.7878097054	0.816778704
18	0.6369759039	0.4557326819	0.7880060258	0.8173810164
19	0.6378793074	0.4539429038	0.7884988301	0.8182522183
20	0.638044688	0.452354241	0.7886630982	0.8181016402
21	0.6386313513	0.4507395815	0.7890276932	0.8184780855
22	0.6401984051	0.4492326148	0.7901214783	0.8189943533
23	0.6402979325	0.4479588125	0.7901375044	0.8192417316
24	0.6417023097	0.4460070869	0.7910950671	0.8198010218
25	0.6419921833	0.4448837767	0.7913474791	0.8197042216
26	0.6420375633	0.4438836817	0.7913554922	0.8198117774
27	0.6430203506	0.4429037745	0.7920285907	0.8201989782
28	0.6433178149	0.4421088159	0.7922209045	0.8203603119
29	0.6438048843	0.4406093251	0.7925173884	0.8206937349
30	0.6445521926	0.4391159677	0.7930222123	0.8210164023
31	0.6447194367	0.4385357614	0.7931864803	0.8208980909
32	0.6454392288	0.4379364126	0.7936792846	0.8211884915
33	0.645351319	0.4373747425	0.7935831277	0.8212852917
34	0.646063941	0.4360895334	0.7940879515	0.8215111589
35	0.6472595436	0.4351288234	0.7948772397	0.8221027158
36	0.6473236191	0.4345219074	0.7949012789	0.822199516
37	0.6490764046	0.433268479	0.7960631751	0.8230492068
38	0.6494181834	0.4325848254	0.7963316132	0.8230707179
39	0.6499691443	0.4318401398	0.7967723324	0.8230814735
40	0.6498903579	0.4314210748	0.7966962082	0.8231244958
41	0.6502309936	0.4310313297	0.7969205744	0.8232965851
42	0.650711183	0.4301302724	0.7972290779	0.8235654746
43	0.6509815611	0.4293430898	0.7974093721	0.8236945415
44	0.6520137158	0.4284889993	0.7980744575	0.8242645873
45	0.6518490132	0.4280474111	0.7979863137	0.8241140091
46	0.6525441771	0.4275596628	0.7984430591	0.8244689433
47	0.6527023863	0.4271597895	0.7985552422	0.8245227212
48	0.6530690455	0.4266163973	0.7987876214	0.8247378328
49	0.6543186221	0.4258107731	0.7996129684	0.8253616564
50	0.6551452591	0.4250266412	0.8001738838	0.8257273461
51	0.6552516272	0.4244689748	0.8002780538	0.8256735682
52	0.655917638	0.4238717885	0.8007147665	0.8260177467
53	0.6567335487	0.4233391595	0.8012957146	0.8262973918
54	0.6566459733	0.4229303868	0.8012235969	0.8262973918
55	0.6569060773	0.4225078736	0.8014239238	0.8263404141
56	0.6573316618	0.4220492421	0.8017083881	0.8265447701
57	0.6575179505	0.421401336	0.8018446104	0.826598548
58	0.6576069646	0.4211040923	0.8019287477	0.8265662813
59	0.6580310881	0.4207034909	0.8022051989	0.8267921484
60	0.6586526208	0.4203834736	0.8026058528	0.827136327
61	0.6589764833	0.4200333085	0.8028061797	0.827340683
62	0.6588485235	0.4197205763	0.8027180358	0.8272869051
63	0.6593145067	0.419354879	0.8030145197	0.8275557946
64	0.659470027	0.4188445279	0.8031146832	0.8276418392
65	0.6603216418	0.4184623661	0.8036916247	0.8280290401
66	0.6605789038	0.4180580449	0.8038839386	0.8280935735
67	0.6610882216	0.4176358831	0.8042164813	0.828362463
68	0.6611608849	0.4172472729	0.8042845925	0.8283409519
69	0.6618561514	0.4168763505	0.8047653771	0.8286313525
70	0.662123721	0.4166046018	0.8049256386	0.8288141974
71	0.6624652535	0.4162120268	0.8051780506	0.8289109976
72	0.6623528164	0.4158931477	0.805113946	0.8288249529
73	0.6623365597	0.415516512	0.8050738806	0.828900242
74	0.6625777287	0.4152685716	0.8052421552	0.8289970422
75	0.6629470915	0.4149247597	0.8055105933	0.8291153536
76	0.6633854509	0.4144951132	0.8057990641	0.8293412208
77	0.6635962306	0.4141569609	0.8059112472	0.8295240656
78	0.6641044697	0.4139420318	0.8062197506	0.8298574886
79	0.664303002	0.4135635667	0.8063599795	0.8299327776
80	0.6645005097	0.4133240304	0.8064721626	0.8300833557
81	0.6646275409	0.4131583297	0.8065442803	0.830180156
82	0.6654768734	0.4128686024	0.8070891695	0.8306534015
83	0.6652789873	0.412419454	0.8069769864	0.8305028233
84	0.6659447523	0.4120839305	0.8074377384	0.8307824684
85	0.6661711932	0.4116694424	0.8075819738	0.8309115354
86	0.6664543254	0.4114378529	0.8077702811	0.8310513579
87	0.6665392619	0.4112195518	0.8078263726	0.8310943802
88	0.6668082486	0.4110361988	0.8079946473	0.8312557139
89	0.6669922082	0.4108572851	0.8081348761	0.8312987362
90	0.6668930246	0.4105762411	0.8080988173	0.8311696693
91	0.667077106	0.4103195011	0.8081949742	0.831331003
92	0.6673458559	0.4101802297	0.8083872881	0.8314278032
93	0.6677424149	0.4098233487	0.8086276804	0.8316859371
94	0.6679403086	0.4095426055	0.8087719158	0.8317504706
95	0.6681946478	0.4092962847	0.8089562165	0.8318365152
96	0.6684644131	0.408893602	0.8091004519	0.8320623824
97	0.6686905571	0.4086047064	0.8092607135	0.832148427
98	0.6688738911	0.4084306607	0.8094009423	0.8321914493
99	0.6689161945	0.4083066051	0.8094329946	0.8322022049
100	0.6691145259	0.4081482649	0.8095571973	0.8323205163
101	0.6694113153	0.407934674	0.8097615308	0.8324495832
102	0.6694539358	0.4077984272	0.8097855701	0.83248185
103	0.6697931034	0.4075676098	0.8100179493	0.8326324281
104	0.6696813366	0.4073993197	0.8099137793	0.8326539392
105	0.6701033115	0.4072300519	0.8102423155	0.8327399839
106	0.6702177327	0.4070155916	0.8102944005	0.8328582952
107	0.6701886152	0.4066956086	0.8102903939	0.8328045173
108	0.6709097081	0.406161421	0.8107711786	0.8331594515
109	0.6712654413	0.4059321209	0.810975512	0.8334175854
110	0.6711811157	0.4056436957	0.8109114074	0.8333960742
111	0.6713375796	0.4053788698	0.8110035578	0.83350363
112	0.6717628573	0.4051395814	0.8112760024	0.8337402528
113	0.6719894676	0.4049428958	0.8114242444	0.8338585641
114	0.6721172223	0.4047069668	0.8115043751	0.8339338532
115	0.6723313861	0.4045323792	0.8116245713	0.8340951869
116	0.6721029496	0.4043271933	0.8114963621	0.8339230976
117	0.6725280326	0.404147118	0.8117728132	0.8341489648
118	0.6728694027	0.4039114734	0.8119811532	0.8343640764
119	0.6730356877	0.4035837115	0.8121293952	0.8343533208
120	0.6736922619	0.4033724308	0.8125100163	0.8348158107
121	0.6735621443	0.4029705626	0.8124499183	0.8346867437
122	0.6737879335	0.4027136094	0.8126061733	0.834783544
123	0.6742976067	0.4024437316	0.8129427225	0.8350416779
124	0.6746215419	0.4020293672	0.8131710952	0.8351707448
125	0.6748487101	0.4018569379	0.8133153306	0.8352998118
126	0.6749761121	0.4016887768	0.8133994679	0.8353643453
127	0.6749320652	0.4015215302	0.8133834418	0.8353105674
128	0.6752871733	0.4011287359	0.8136078079	0.8355149234
129	0.6757829918	0.4009018764	0.8139323376	0.8357730573
130	0.6759839426	0.4004100409	0.8140445207	0.8359236354
131	0.6765680775	0.400074835	0.8144051091	0.8362785695
132	0.6768354861	0.3998772071	0.8145934165	0.8363861253
133	0.6769243847	0.3995210426	0.8146254688	0.8364936811
134	0.6771897771	0.3993188273	0.8148257957	0.8365689702
135	0.67754547	0.3991131163	0.8150501619	0.8367733262
136	0.6776318586	0.3987835184	0.8150982403	0.8368378596
137	0.6781137769	0.3985457235	0.8154147569	0.837085238
138	0.6782290803	0.3983024287	0.8154788615	0.8371712826
139	0.6786427994	0.3980499557	0.81573528	0.8374186609
140	0.6785387934	0.3978212132	0.8156952146	0.8373003496
141	0.6784545416	0.3976894771	0.8156351165	0.8372680828
142	0.6786495846	0.3975036028	0.8157833584	0.8373218607
143	0.6790671967	0.3972937879	0.8160197442	0.8376230169
144	0.679255715	0.3970580384	0.8161199077	0.8377735951
