iter	Passed	Remaining
0	74	74563
1	158	79022
2	235	78247
3	316	78765
4	398	79230
5	485	80424
6	565	80229
7	641	79520
8	723	79662
9	808	80038
10	894	80409
11	989	81473
12	1076	81728
13	1176	82846
14	1267	83232
15	1356	83412
16	1439	83259
17	1528	83391
18	1630	84200
19	1722	84403
20	1811	84441
21	1892	84147
22	1983	84246
23	2066	84051
24	2155	84068
25	2245	84117
26	2329	83945
27	2406	83541
28	2488	83307
29	2575	83278
30	2658	83104
31	2741	82925
32	2825	82806
33	2917	82881
34	3007	82907
35	3089	82738
36	3173	82592
37	3257	82471
38	3343	82382
39	3436	82481
40	3522	82384
41	3607	82295
42	3691	82152
43	3778	82105
44	3847	81662
45	3925	81410
46	4004	81196
47	4088	81090
48	4175	81041
49	4254	80844
50	4336	80699
51	4422	80623
52	4508	80558
53	4592	80450
54	4673	80304
55	4756	80177
56	4832	79947
57	4915	79827
58	4995	79676
59	5080	79602
60	5162	79465
61	5240	79277
62	5320	79128
63	5404	79033
64	5482	78865
65	5557	78650
66	5644	78597
67	5731	78561
68	5818	78506
69	5901	78400
70	5988	78358
71	6073	78277
72	6155	78164
73	6234	78015
74	6320	77953
75	6402	77845
76	6495	77867
77	6580	77788
78	6656	77598
79	6732	77422
80	6811	77279
81	6896	77208
82	6974	77052
83	7054	76926
84	7123	76678
85	7211	76647
86	7298	76593
87	7381	76502
88	7464	76404
89	7553	76370
90	7632	76236
91	7719	76192
92	7797	76043
93	7875	75904
94	7962	75855
95	8044	75747
96	8125	75638
97	8202	75500
98	8296	75507
99	8390	75512
100	8473	75419
101	8555	75318
102	8637	75222
103	8719	75118
104	8803	75040
105	8887	74956
106	8969	74855
107	9051	74758
108	9143	74742
109	9230	74681
110	9318	74635
111	9403	74555
112	9483	74442
113	9576	74429
114	9673	74444
115	9757	74355
116	9840	74266
117	9919	74146
118	10000	74038
119	10082	73941
120	10175	73917
121	10255	73805
122	10339	73720
123	10434	73713
124	10528	73702
125	10626	73714
126	10710	73626
127	10803	73599
128	10891	73536
129	10977	73467
130	11068	73425
131	11162	73403
132	11244	73297
133	11328	73214
134	11409	73102
135	11492	73009
136	11578	72934
137	11665	72866
138	11744	72749
139	11831	72682
140	11914	72587
141	11996	72485
142	12083	72414
143	12173	72363
144	12252	72249
145	12338	72172
146	12421	72078
147	12508	72008
148	12594	71931
149	12682	71867
150	12766	71779
151	12849	71683
152	12931	71589
153	13016	71505
154	13100	71417
155	13192	71373
156	13271	71261
157	13355	71173
158	13439	71086
159	13522	70993
160	13612	70938
161	13701	70875
162	13784	70783
163	13863	70668
164	13945	70572
165	14024	70460
166	14108	70375
167	14204	70345
168	14299	70312
169	14380	70208
170	14469	70149
171	14541	70004
172	14625	69914
173	14701	69789
174	14789	69721
175	14866	69603
176	14954	69533
177	15035	69434
178	15120	69351
179	15213	69304
180	15305	69254
