iter	F1	Logloss	Accuracy:use_weights=true	Accuracy:use_weights=false
0	0.5747329683	0.6824434746	0.6916527773	0.7605700457
1	0.5747329683	0.6732657963	0.6916527773	0.7605700457
2	0.5747329683	0.6654054556	0.6916527773	0.7605700457
3	0.5747329683	0.6586487383	0.6916527773	0.7605700457
4	0.5747659937	0.6528567922	0.6916647969	0.7605700457
5	0.5747659937	0.6478889685	0.6916647969	0.7605700457
6	0.5747659937	0.6436237392	0.6916647969	0.7605700457
7	0.5747659937	0.639966006	0.6916647969	0.7605700457
8	0.5748053685	0.6264258749	0.6916848296	0.7605808013
9	0.5747786975	0.6146979362	0.6916808231	0.7605915569
10	0.5747786975	0.604748648	0.6916808231	0.7605915569
11	0.5747786975	0.5966763683	0.6916808231	0.7605915569
12	0.5748117206	0.5888115771	0.6916928427	0.7605915569
13	0.6634023461	0.5813486412	0.7333928972	0.7728098951
14	0.6634023461	0.5755258894	0.7333928972	0.7728098951
15	0.6634294385	0.5699995314	0.7334049168	0.7728098951
16	0.6864760002	0.5651721266	0.7384050771	0.7604840011
17	0.6866623142	0.5606770981	0.7384852079	0.7604624899
18	0.6866007	0.5563778097	0.7384651752	0.7604840011
19	0.6902667352	0.5527390865	0.7537020417	0.7906318903
20	0.6900360777	0.549357792	0.7549120164	0.7935789191
21	0.6937060839	0.5458912776	0.7546195391	0.789104598
22	0.6901131433	0.5427475015	0.755072278	0.7938585641
23	0.6932286141	0.5389508843	0.7555570691	0.7917182038
24	0.6952430212	0.5356759686	0.7568471746	0.7925141167
25	0.6965611028	0.5323414128	0.7577286131	0.7931164291
26	0.6967743229	0.5292486357	0.7576765281	0.7927722506
27	0.6963984597	0.5254029802	0.7583456201	0.7946867437
28	0.6982009177	0.5224340294	0.7596557582	0.7957515461
29	0.6997295585	0.5196580133	0.760673419	0.7964399032
30	0.6977425975	0.5166445096	0.7604170005	0.7979671955
31	0.6993624722	0.5143588802	0.7613745633	0.7984296854
32	0.7004128994	0.5127364144	0.7624963941	0.799870933
33	0.7008029087	0.5102962152	0.7626125837	0.7997203549
34	0.7019603477	0.5077046879	0.7640228853	0.8017101371
35	0.7029317905	0.5060120336	0.764659925	0.8021296047
36	0.7042381571	0.5042661243	0.765389115	0.8023984942
37	0.7048121799	0.5029386794	0.7661022789	0.8034202743
38	0.7052507053	0.5013594273	0.7664107824	0.803656897
39	0.7058615373	0.4994553215	0.7668795474	0.8040763646
40	0.706880873	0.4983561465	0.7675406263	0.8044958322
41	0.7062322961	0.4964781165	0.7677289336	0.8056359236
42	0.7066027311	0.4951394072	0.7680935286	0.8060769024
43	0.7076720581	0.4934736005	0.7686424244	0.8061844582
44	0.7088208935	0.4921789531	0.7695959806	0.8071417048
45	0.7104267008	0.4907773592	0.7704373538	0.8073353052
46	0.7095839182	0.4891765753	0.7703812622	0.8081312181
47	0.7103404632	0.4877261813	0.7707658899	0.8081957515
48	0.7111979509	0.4866846709	0.7714109427	0.8087550417
49	0.7119749292	0.485692366	0.7720640085	0.8094218876
50	0.7129367567	0.4847532242	0.772841277	0.8101747782
