iter	Passed	Remaining
0	21	42620
1	36	36407
2	47	31286
3	64	32215
4	78	31296
5	100	33453
6	123	35084
7	135	33695
8	152	33781
9	165	32963
10	177	32114
11	188	31174
12	203	31054
13	226	32136
14	244	32375
15	265	32894
16	291	34055
17	309	34049
18	327	34160
19	341	33822
20	357	33693
21	373	33594
22	388	33429
23	415	34211
24	447	35389
25	478	36305
26	501	36655
27	526	37053
28	546	37137
29	567	37259
30	589	37414
31	608	37441
32	622	37093
33	646	37392
34	667	37494
35	688	37577
36	709	37624
37	721	37249
38	751	37776
39	770	37741
40	780	37305
41	800	37305
42	819	37288
43	841	37422
44	859	37360
45	882	37507
46	908	37752
47	929	37785
48	952	37924
49	983	38369
50	1015	38808
51	1029	38572
52	1055	38772
53	1082	39014
54	1106	39139
55	1130	39261
56	1155	39401
57	1170	39177
58	1187	39074
59	1210	39125
60	1233	39200
61	1254	39217
62	1275	39219
63	1300	39334
64	1326	39496
65	1352	39637
66	1374	39663
67	1393	39579
68	1414	39599
69	1426	39340
70	1448	39365
71	1472	39420
72	1495	39480
73	1518	39523
74	1542	39601
75	1567	39678
76	1586	39622
77	1600	39444
78	1628	39590
79	1651	39624
80	1669	39541
81	1696	39681
82	1719	39722
83	1745	39816
84	1774	39974
85	1794	39946
86	1815	39927
87	1835	39877
88	1860	39938
89	1878	39859
90	1891	39670
91	1915	39720
92	1934	39670
93	1950	39552
94	1971	39530
95	1995	39578
96	2014	39517
97	2034	39483
98	2054	39449
99	2072	39385
100	2095	39396
101	2118	39413
102	2139	39408
103	2164	39454
104	2186	39468
105	2212	39534
106	2236	39575
107	2252	39464
108	2276	39502
109	2288	39320
110	2307	39277
111	2331	39309
112	2351	39271
113	2375	39301
114	2401	39367
115	2429	39452
116	2447	39390
117	2467	39359
118	2487	39323
119	2511	39346
120	2533	39347
121	2553	39310
122	2570	39227
123	2590	39184
124	2607	39117
125	2625	39048
126	2644	38994
127	2663	38948
128	2683	38925
129	2702	38876
130	2727	38917
131	2749	38906
132	2769	38878
133	2796	38935
134	2819	38947
135	2838	38904
136	2857	38864
137	2878	38844
138	2901	38849
139	2920	38800
140	2939	38753
141	2960	38732
142	2985	38768
143	3005	38741
144	3024	38697
145	3045	38675
146	3060	38575
147	3093	38715
148	3123	38800
149	3161	38988
150	3199	39183
151	3235	39341
152	3267	39446
153	3296	39516
154	3325	39583
155	3358	39693
156	3390	39802
157	3422	39901
158	3448	39926
159	3468	39890
160	3487	39835
161	3506	39785
162	3531	39804
163	3553	39777
164	3577	39789
165	3599	39763
166	3617	39706
167	3636	39654
168	3655	39607
169	3677	39583
170	3698	39563
171	3725	39594
172	3767	39792
173	3806	39945
174	3846	40115
175	3880	40220
176	3907	40241
177	3930	40228
178	3956	40246
179	3989	40335
180	4012	40319
181	4029	40253
182	4048	40200
183	4066	40137
184	4088	40110
185	4111	40094
186	4131	40055
187	4156	40061
188	4176	40016
189	4199	40005
190	4223	40003
191	4250	40027
192	4292	40193
193	4329	40309
194	4361	40367
195	4396	40464
196	4430	40553
197	4466	40652
198	4493	40669
199	4514	40628
200	4539	40632
201	4558	40575
202	4584	40586
203	4606	40557
204	4631	40554
205	4651	40507
206	4669	40450
207	4692	40424
208	4718	40437
209	4741	40417
210	4776	40499
211	4806	40540
212	4842	40626
213	4876	40696
214	4910	40768
215	4945	40849
216	4983	40946
217	5011	40968
218	5038	40973
219	5072	41039
220	5108	41122
221	5139	41163
222	5161	41133
223	5183	41096
224	5219	41176
225	5256	41261
226	5291	41332
227	5325	41388
228	5357	41434
229	5390	41484
230	5422	41522
231	5448	41518
232	5471	41497
233	5494	41470
234	5518	41446
235	5540	41416
236	5558	41346
237	5580	41313
238	5602	41276
239	5629	41282
240	5661	41322
241	5690	41341
242	5725	41394
243	5754	41416
244	5786	41450
245	5811	41438
246	5839	41445
247	5864	41427
248	5887	41403
249	5910	41376
250	5931	41329
251	5950	41277
252	5970	41229
253	6004	41273
254	6045	41370
255	6087	41468
256	6120	41510
257	6150	41526
258	6179	41535
259	6205	41527
260	6224	41474
261	6246	41433
262	6269	41404
263	6294	41391
264	6317	41364
265	6340	41331
266	6368	41337
267	6397	41347
268	6437	41422
269	6475	41494
270	6503	41489
271	6530	41490
272	6548	41423
273	6572	41404
274	6593	41360
275	6614	41315
276	6635	41276
277	6660	41254
278	6688	41259
279	6718	41273
280	6748	41285
281	6769	41238
